district,project_name,building_lands
七股區,元氣小鎮,竹子港段312地號
七股區,旺第好蘊,玉成段685-3地號
七股區,為有巢七股玉成,玉成段1477-10地號
七股區,瑞士山莊第8期,大埕段451-1地號
七股區,金艷富邸10,樹林段480-2地號
七股區,金艷富邸15,大文段266-3地號
七股區,鑫悅成家系列,槺榔段1528-0002地號
下營區,琢韻,茅港尾段1162地號
下營區,馨園系列,十六甲段162-14地號
仁德區,加賀屋6期,太子段1072-6地號
仁德區,樂成家,三甲子段99-1地號
佳里區,佳禮秀墅,佳里區育善街135巷
佳里區,吾映良品19,新安段477地號
佳里區,吾映良品20,鎮安段187-1地號
佳里區,墅說囍悅3,塭子內段409-9地號
佳里區,太齊揚揚,新安段393地號
佳里區,安新家,佳化段1659地號
佳里區,家薪7,新安段146地號
佳里區,家薪8,鎮安段245地號
佳里區,家薪9,鎮安段245-13地號
佳里區,真合邑6,新宅段487-17地號
佳里區,臺邦La Vie,佳里段251-4地號
佳里區,藏鑽十二期,新安段102地號
六甲區,九鈿富家,中社段136-8地號
六甲區,吾映良品21,中社段174地號
六甲區,春暖花開,保生段7地號
六甲區,清淞居2~Mr.田中,龜子港段1683-2地號
六甲區,清自朗,中社段113-9地號
六甲區,臺邦田園調布,龜子港段1710地號
北區,國泰原美,北元段1013地號
北區,欣府城-君子樓,小北段2000地號
北區,琉.金,北華段1117地號
北區,藏筑3,小北段1296地號
南區,敦煌.時坴,鹽埕段254地號
南區,織筑藏樂6,華南段303-8地號
善化區,Field Life S棟,圳西段220地號
善化區,享樂家,曾文段1649地號
善化區,儷城欣欣6,茄拔段一小段1440-4地號
善化區,光年?新美世代,德興段49-1地號
善化區,南科之心6,善駕段1136地號
善化區,南科之心7,善駕段831地號
善化區,南科之心8,善駕段828地號
善化區,南科寶石捷,胡厝段980地號
善化區,南科怡華悅,東勢寮段一小段713地號
善化區,吾寓三,東勢寮段二小段756-2地號
善化區,城之芯,北小新段346地號
善化區,奇詮齊全2,茄拔段一小段1370地號
善化區,宇晨植得,成功段489地號
善化區,徠茵河,北子店段二小段259地號
善化區,恆鵬 陽光四季,善新段205地號
善化區,承安永平7,南小新段764地號
善化區,曉幸運,成功段757地號
善化區,書卷田,東勢寮段二小段1258-4地號
善化區,朋緯不二3期,北子店段二小段458-4地號
善化區,樂樂南科,茄拔段一小段1312-1地號
善化區,沅恆拾玥,東勢寮段二小段1176地號
善化區,沅恆首哲,德興段650地號
善化區,沅陞拾美莊園,什美段747地號
善化區,沅陞拾萃莊園,什美段819地號
善化區,淳真年代2,茄拔段一小段1532地號
善化區,湖畔寶石捷,北子店段二小段290地號
善化區,真工會館2,大同段656地號
善化區,美麗?南科,東勢寮段二小段869地號
善化區,美麗綣公園,北小新段765-1地號
善化區,良茂合心城-合美館,什美段895地號
善化區,蒔青風,曾文段1649-2地號
善化區,誠銳幸福配方,灣裡段1301-8地號
善化區,鄉景善品,什美段269地號
善化區,鄉景尚品,大同段522地號
善化區,鄉景御品,灣裡段1161地號
善化區,鄉景森品,灣裡段498地號
善化區,鄉景馨品,什美段715地號
善化區,鄉景麗品,大成段1409地號
善化區,金福砌.天天開心6,東勢寮段二小段511地號
大內區,內山村,石仔瀨段1110地號
大內區,萊茵河第2期,石仔瀨段213-1地號
學甲區,印象米蘭,麻學路三段465巷16號
學甲區,杉禾苑,草坔段0343-0043地號
學甲區,松景園(第六期),草坔269地號
安南區,一字得,國安段1766地號
安南區,世界之心,科工段86地號
安南區,合恆 寓紳鄰-曙光,淵南段519-2地號
安南區,合恆   寓紳鄰-黎明,淵南段519地號
安南區,安中盛市,海北段805地號
安南區,宜室感,安西段473地號
安南區,晨夏,青草崙段357-100地號
安南區,毅陽晶典13,安東段531地號
安南區,淳境九份子,國安段1652地號
安南區,薈萃居7,國安段1590地號
安南區,連建勤學,新順段966地號
安定區,32泊,海安段162地號
安定區,卓悅No7,保安段370地號
安定區,南科日和,蘇林段720地號
安定區,南科綻,光榮段219地號
安定區,南科闊朗朗,蘇林段85地號
安定區,呈豐日日35,六塊寮段3486地號
安定區,大京藏六期,海安段492地號
安定區,大堂富域,港尾段508地號
安定區,大麗Ai.1,保安段195地號
安定區,安定小時光8,中沙段873地號
安定區,安慶時尚II,港尾段703地號
安定區,安藝墅,海安段359地號
安定區,展泓?敦旭,新庄段646地號
安定區,幸福IDO,蘇林段404地號
安定區,日初莊園III-春曉,港口段1491-2地號
安定區,日初莊園-晨曦,港口段1491-6地號
安定區,日初莊園-朝露,港口段1491地號
安定區,明日計畫,蘇安段898地號
安定區,皇寶NO.7,六塊寮段3706地號
安定區,禾苑,蘇安段788地號
安定區,管弦苑,管寮段556地號
安定區,築東京,港口段3027-3地號
安定區,美麗公主,海安段764地號
安定區,芳扉扉,蘇林段67地號
安定區,萊茵河第三期,管寮段350地號
安定區,起家厝Ⅱ,海安段190地號
安定區,逸墅家11,海安段963地號
安定區,邰欣地堡98期,港口段3016-3地號
安定區,金色風采12,中榮段296地號
安定區,金艷富邸11,管寮段378-26地號
安定區,陶喜LIHO5,港口段3212地號
安平區,潤隆鉑?,新南段93-8地號
安平區,虹韻,新南段55-4地號
官田區,三鼎新創園區,南廍段0217-0029地號
官田區,官田奇蹟二期,新官田段1748地號
官田區,官田樂透3,神農段260地號
官田區,官邸,南部里108-26地號
官田區,翰明 帝璽,官田區南廍120號旁
將軍區,家薪10,巷口段一小段796地號
將軍區,愛上將軍,忠昌段997-2地號
將軍區,禎藏5,忠昌段495地號
將軍區,臺邦秘境,西華段660地號
將軍區,西湖十六,西湖段370地號
將軍區,遇見．方圓,忠昌段842地號
山上區,RVilla,樹王段106地號
山上區,山上好好,媽祖段279地號
山上區,欣欣名邸,樹王段975地號
後壁區,?拾光,頭前段715地號
後壁區,?。拾光2期,頂平段496地號
後壁區,梠鑫天地N0.2,竹新段890地號
後壁區,樂活居,頭前段153-17地號
後壁區,碧荷園1期,侯伯段1335地號
後壁區,福砌禾生活,四安段1175地號
新化區,天闊,崙子頂段884地號
新化區,居易白,頂山腳段524地號
新化區,永鄰6,唪口段1606地號
新化區,白樓2璞域,新平段805地號
新化區,皇邑,𦰡拔林段557-5地號
新市區,南科之心5,北社內段348地號
新市區,囍事連連NO.18,港子墘段646地號
新市區,好墅席第一期,大營段2962-2地號
新市區,常辰和邑,南社內段369地號
新市區,德和大邁23,南社內段493地號
新市區,心程市,潭頂段533地號
新市區,煌聖．森友旭,大營段3037-4地號
新市區,真祥家7,大洲段275-2地號
新市區,立龍富居,大社段2134-2地號
新市區,筑美麗5,番子寮段1512-1地號
新市區,綜宏新市興,南社內段283地號
新市區,鄉景翰林苑,南三舍段524地號
新市區,鄉景臻品,南三舍段1059地號
新市區,鄉景虹品,北社內段844地號
新市區,鄉景誠品,南三舍段569地號
新營區,京東館一期,建國段741-1地號
新營區,京東館二期,建國段741地號
新營區,心迎風彩2,周武段1307-13地號
東區,清景麟夢公園,平實段22地號
東山區,保宥風華,頂田段131地號
東山區,墅時光二期,東興段376地號
東山區,春禹山行旅,東興段921地號
柳營區,悠植居3,士林段872地號
柳營區,柳營太康富居,綠隧段862地號
歸仁區,佳順大富,武東段90地號
歸仁區,春福天綻,武東段126地號
