id,source_table,source_id,district,project_name,road,builder,household,use_zoning,main_use,main_material,declare_date,selling_period,building_lands,building_permit_date,building_permit_no,first_registration_date,address_seed,address_norm,lon,lat,center_source,match_level,extra,created_at,updated_at,geom_center_wkt
908,presale_csv,七股區|元氣小鎮|竹橋9號旁|(113)南工造字第01901號,七股區,元氣小鎮,竹橋9號旁,安富億建設股份有限公司,70,鄉村區乙種建築用地,G3店鋪、H2住宅,鋼筋混凝土造,1140918,自售:1141118~1151118,竹子港段312地號,,(113)南工造字第01901號,,台南市七股區竹橋9號旁,台南市七股區竹橋9號,,,NONE,NONE,"{'builder': '安富億建設股份有限公司', 'main_use': 'G3店鋪、H2住宅', 'household': '70', 'use_zoning': '鄉村區乙種建築用地', 'declare_date': '1140918', 'main_material': '鋼筋混凝土造', 'building_lands': None, 'selling_period': '自售:1141118~1151118', 'building_permit_no': '(113)南工造字第01901號', 'building_permit_date': None, 'first_registration_date': None}",2026-03-19 15:48:10.336040+00:00,2026-03-20 12:41:06.145999+00:00,
846,presale_csv,七股區|旺第好蘊|176縣道123號|(114)南工造字第00048號,七股區,旺第好蘊,176縣道123號,旺第建設有限公司負責人程麗絹,30,「住二(附)」第二種住宅區(附)、第一種住宅區,G3店鋪(<500m2)、H2集合住宅,鋼筋混凝土造,1140326,自售:無,玉成段685-3地號,,(114)南工造字第00048號,,台南市七股區176縣道123號,台南市七股區176縣道123號,,,NONE,NONE,"{'builder': '旺第建設有限公司負責人程麗絹', 'main_use': 'G3店鋪(<500m2)、H2集合住宅', 'household': '30', 'use_zoning': '「住二(附)」第二種住宅區(附)、第一種住宅區', 'declare_date': '1140326', 'main_material': '鋼筋混凝土造', 'building_lands': None, 'selling_period': '自售:無', 'building_permit_no': '(114)南工造字第00048號', 'building_permit_date': None, 'first_registration_date': None}",2026-03-19 15:48:10.336040+00:00,2026-03-20 12:41:06.145999+00:00,
625,presale_csv,七股區|為有巢七股玉成|七股里|南工造字第02241號,七股區,為有巢七股玉成,七股里,柏陽建設開發有限公司,11,第一種住宅區,住宅,鋼筋混凝土造,1130326,自售:無,玉成段1477-10地號,,南工造字第02241號,,台南市七股區七股里,台南市七股區七股里,,,NONE,NONE,"{'builder': '柏陽建設開發有限公司', 'main_use': '住宅', 'household': '11', 'use_zoning': '第一種住宅區', 'declare_date': '1130326', 'main_material': '鋼筋混凝土造', 'building_lands': None, 'selling_period': '自售:無', 'building_permit_no': '南工造字第02241號', 'building_permit_date': None, 'first_registration_date': None}",2026-03-19 15:48:10.336040+00:00,2026-03-20 12:41:06.145999+00:00,
147,presale_csv,七股區|瑞士山莊第8期|大埕里420號旁|(110)南工造字第02193,七股區,瑞士山莊第8期,大埕里420號旁,福悅營造有限公司,16,住宅區,住家用,鋼筋混凝土造,1110131,自售:1110208~1110808,大埕段451-1地號,,(110)南工造字第02193,,台南市七股區大埕里420號旁,台南市七股區大埕里420號,,,NONE,NONE,"{'builder': '福悅營造有限公司', 'main_use': '住家用', 'household': '16', 'use_zoning': '住宅區', 'declare_date': '1110131', 'main_material': '鋼筋混凝土造', 'building_lands': None, 'selling_period': '自售:1110208~1110808', 'building_permit_no': '(110)南工造字第02193', 'building_permit_date': None, 'first_registration_date': None}",2026-03-19 15:48:10.336040+00:00,2026-03-20 12:41:06.145999+00:00,
443,presale_csv,七股區|金艷富邸10|樹林里樹林|(111)南工造字第03136號,七股區,金艷富邸10,樹林里樹林,嬿銡建設有限公司  代表人鄭嬿雯,14,鄉村區乙種建築用地,住宅,鋼筋混凝士造,1120419,自售:1120501~1130501,樹林段480-2地號,,(111)南工造字第03136號,,台南市七股區樹林里樹林,台南市七股區樹林里樹林,,,NONE,NONE,"{'builder': '嬿銡建設有限公司  代表人鄭嬿雯', 'main_use': '住宅', 'household': '14', 'use_zoning': '鄉村區乙種建築用地', 'declare_date': '1120419', 'main_material': '鋼筋混凝士造', 'building_lands': None, 'selling_period': '自售:1120501~1130501', 'building_permit_no': '(111)南工造字第03136號', 'building_permit_date': None, 'first_registration_date': None}",2026-03-19 15:48:10.336040+00:00,2026-03-20 12:41:06.145999+00:00,
745,presale_csv,七股區|金艷富邸15|大埕里|(113)南工造字第02132號,七股區,金艷富邸15,大埕里,嬿銡建設有限公司,16,特定農業區甲種建築用地,H2住宅,鋼筋混凝土造,1130930,自售:1131015~1141014,大文段266-3地號,,(113)南工造字第02132號,,台南市七股區大埕里,台南市七股區大埕里,,,NONE,NONE,"{'builder': '嬿銡建設有限公司', 'main_use': 'H2住宅', 'household': '16', 'use_zoning': '特定農業區甲種建築用地', 'declare_date': '1130930', 'main_material': '鋼筋混凝土造', 'building_lands': None, 'selling_period': '自售:1131015~1141014', 'building_permit_no': '(113)南工造字第02132號', 'building_permit_date': None, 'first_registration_date': None}",2026-03-19 15:48:10.336040+00:00,2026-03-20 12:41:06.145999+00:00,
868,presale_csv,七股區|鑫悅成家系列|義合75之9號旁|(114)南工造字第00621號,七股區,鑫悅成家系列,義合75之9號旁,銘鑫開發建設有限公司 楊皓任,19,鄉村區乙種建築用地,住家用,鋼筋混凝土造,1140523,自售:無,槺榔段1528-0002地號,,(114)南工造字第00621號,,台南市七股區義合75之9號旁,台南市七股區義合75之9號,,,NONE,NONE,"{'builder': '銘鑫開發建設有限公司 楊皓任', 'main_use': '住家用', 'household': '19', 'use_zoning': '鄉村區乙種建築用地', 'declare_date': '1140523', 'main_material': '鋼筋混凝土造', 'building_lands': None, 'selling_period': '自售:無', 'building_permit_no': '(114)南工造字第00621號', 'building_permit_date': None, 'first_registration_date': None}",2026-03-19 15:48:10.336040+00:00,2026-03-20 12:41:06.145999+00:00,
638,presale_csv,下營區|琢韻|中營|(113)南工造字第00945號,下營區,琢韻,中營,閎騰建設有限公司,20,鄉村區乙種建築用地,Ｈ2集合住宅、停車空間、門廊、管理委員會使用空間,鋼筋混凝土造,1130430,自售:無,茅港尾段1162地號,,(113)南工造字第00945號,,台南市下營區中營,台南市下營區中營,,,NONE,NONE,"{'builder': '閎騰建設有限公司', 'main_use': 'Ｈ2集合住宅、停車空間、門廊、管理委員會使用空間', 'household': '20', 'use_zoning': '鄉村區乙種建築用地', 'declare_date': '1130430', 'main_material': '鋼筋混凝土造', 'building_lands': None, 'selling_period': '自售:無', 'building_permit_no': '(113)南工造字第00945號', 'building_permit_date': None, 'first_registration_date': None}",2026-03-19 15:48:10.336040+00:00,2026-03-20 12:41:06.145999+00:00,
729,presale_csv,下營區|馨園系列|紅甲里紅毛厝|南工造字第00701號,下營區,馨園系列,紅甲里紅毛厝,六鑫建設有限公司,18,鄉村區乙種建築用地,H2住宅,鋼筋混凝土造,1130903,自售:1130903~至完銷止,十六甲段162-14地號,,南工造字第00701號,,台南市下營區紅甲里紅毛厝,台南市下營區紅甲里紅毛厝,,,NONE,NONE,"{'builder': '六鑫建設有限公司', 'main_use': 'H2住宅', 'household': '18', 'use_zoning': '鄉村區乙種建築用地', 'declare_date': '1130903', 'main_material': '鋼筋混凝土造', 'building_lands': None, 'selling_period': '自售:1130903~至完銷止', 'building_permit_no': '南工造字第00701號', 'building_permit_date': None, 'first_registration_date': None}",2026-03-19 15:48:10.336040+00:00,2026-03-20 12:41:06.145999+00:00,
614,presale_csv,仁德區|加賀屋6期|太子段 1072-6 地號|(112)南工造字第02914-01號,仁德區,加賀屋6期,太子段 1072-6 地號,名賀建設有限公司,32,住宅區,住宅,鋼筋混凝土造,1130308,自售:1130314~1150731,太子段1072-6地號,,(112)南工造字第02914-01號,,台南市仁德區太子段 1072-6 地號,台南市仁德區太子段1072-6地號,,,NONE,NONE,"{'builder': '名賀建設有限公司', 'main_use': '住宅', 'household': '32', 'use_zoning': '住宅區', 'declare_date': '1130308', 'main_material': '鋼筋混凝土造', 'building_lands': None, 'selling_period': '自售:1130314~1150731', 'building_permit_no': '(112)南工造字第02914-01號', 'building_permit_date': None, 'first_registration_date': None}",2026-03-19 15:48:10.336040+00:00,2026-03-20 12:41:06.145999+00:00,
