district,project_name,building_permit_no,road
七股區,元氣小鎮,(113)南工造字第01901號,竹橋9號旁
七股區,旺第好蘊,(114)南工造字第00048號,176縣道123號
七股區,瑞士山莊9,(112)南工造字第02754號,義合段
七股區,金艷富邸10,(111)南工造字第03136號,樹林里樹林
七股區,金艷富邸15,(113)南工造字第02132號,大埕里
七股區,鑫悅成家系列,(114)南工造字第00621號,義合75之9號旁
下營區,儷城欣欣8,(113)南工造字第02844號,蚵寮街
下營區,金色風采15,(111)南工造字第01679號,忠孝街15號隔壁
下營區,風鈴沐,(111)南工造字第00712號,大和街
下營區,馨園系列,南工造字第00701號,紅甲里紅毛厝
中西區,天鑽Live Vogue,(113)南工造字地02639號,民權路三段234巷
中西區,純在.海安,(112)南工造字第01150號,忠明街
中西區,隱玉所5,,湖美三街50號對面
仁德區,MoMA21,南工造字第01603-01609號,德南路209巷旁
仁德區,九硯.寶硯,(112)南工造字第01167號,中洲西段175地號
仁德區,加賀屋2期,,太子段456地號
仁德區,吾寓二,(113)南工造字第02206號,後壁段1282地號
仁德區,呈豐日日31,(111)南工造字第01901號,保生東路218巷
仁德區,墨飛白 2,南工造字第01189號,中正路二段949巷29號
仁德區,春福睦森,(113)南工造字第01403號,公園段0139-0161地號
仁德區,東都樂學,(110)南工造字第04026號,二空路221號對面
仁德區,歐香堡42(華廈NO.1),(111)南工字第04295-01號,二行一路
仁德區,歐香堡42(華廈NO.2),(111)南工字第01899號,二行一路
仁德區,歐香堡43(別墅NO.1),(111)南工字第02336號,二行一路
仁德區,歐香堡43(別墅NO.2),(111)南工造字第03741號,二行一路
佳里區,5福霖門8期—漸入佳境,(114)南工造字第2113號,佳南路61巷
佳里區,佳定-臻成佳,(110)南工造字第02674號,佛天段
佳里區,公園伯爵N0.24,(112)南工造字地00483號,安南路旁
佳里區,公園伯爵N0.25,(112)南宮造字第00484,安南路旁
佳里區,墅說囍悅3,(112)南工造字第00594號,塭子內
佳里區,太齊二畝田,(111)南工造字第00158號,鎮山街85巷20號旁
佳里區,太齊揚揚,(112)南工造字第00908號,番仔寮95號對面
佳里區,幸福佳里,南工造字第03975號,佳化段
佳里區,御善佳居III,(112)南工造字第01053號,安西段330地號
佳里區,昶瓏織己,(113)南工造字第01642號,和平街
佳里區,臺邦La Vie,(112)南工造字第02757號,東寧里東寧74之號旁
佳里區,藏鑽十二期,113南工造字第01704號,海澄里番子寮6之22號旁
佳里區,誠銳築樂,(113)南工造字第02717號,佳東路581號六安堂旁
佳里區,誠銳藏紳,(113)南工造字第00965號,光復路127巷
佳里區,誠銳遠見2,(111)南工造字第01220號,光復路82號旁
六甲區,九鈿富家,(113)南工造字第03149,中社里中社62號西側
六甲區,?傳六甲園,南工造字第00529號,七甲街75巷
六甲區,双囍,(112)南工造字第02130-01號,龜子港段394-3地號
六甲區,吾映良品21,(114)南工造字第00512號,中社里中社459號旁
六甲區,清淞居2~Mr.田中,(111)南工造字第01550號,龜子港31巷
六甲區,雅舍小品,(113)南工造字第01091號,成功段759-1~759-9地號
北區,人文?城,南工造字第02774-01號,文成路750巷
北區,森慕川,(112)南工造字第02364號,北園街121巷10弄
北區,欣府城-君子樓,(113)南工造字第00450-01號,和緯路二段與育德二街交叉口
北區,琉.金,(110)南工造字第03081-01號,北華段1117-0000
北區,薈萃居10,(113)南工造字第02223號,文賢路1122巷
南區,品泓和砌二期,南工造字第02579號,永成路二段827巷
南區,天生贏家７- 是建築,(112)南工造字第00326號,中華西路一段70巷
南區,尊南一品,(110)南工造字第01115-03,尊南街
南區,岩敘,(113)南工造字第02264號,德興路237巷
南區,拾.玖藏,(111)南工造字第02620號,公英段864地號
南區,林語堂25,(112)南工造字第02933號,健康路一段113巷
南區,福灣寬庭10,,萬年三街
南區,福灣寬庭16,(114)南工造字第00452號,萬年路160巷
南區,織筑藏樂6,(113)南工造字第01442-01號,中華南路
南區,隱渝市,(113)南工造字第00818號,明興路1055巷17弄
善化區,南科之心7,(113)南工造字第01270號,陽明新村
善化區,南科之心8,(113)南工造字第02899-01號,陽明新村
善化區,南科席揚,(112)南工造字第00927號,文正段766，785，094地號
善化區,吾寓三,(113)南工造字第02325號,東勢寮二小段
善化區,和紘善美,(112)南工造字第02559-01號,光華路54巷
善化區,富貴晨村Ⅱ,(113)南工造字第02743號,進學路68號旁
善化區,居閑六S-HAUS 星寓所,(111)南工造字第03506號,東勢寮段二小段812地號
善化區,市心CASA 2,(111)南工造字第01660號,善中段361地號
善化區,常慶天玥,慶安段475地號,文正路
善化區,徠茵河,(113)南工造字第01795號,牛庄109號旁
善化區,德和擇善,,自強路
善化區,承學LIGHT,(113)南工造字第00387號,北小新段
善化區,書卷田,(112)南工造字第01019號,東勢寮
善化區,朋緯不二3期,(110)南工造字第04232號,牛庄135之25號旁
善化區,湖畔寶石捷,(110)南工造字第2021-2065號,牛庄
善化區,琉白,(112)南工造字第01640號,南小新段273地號
善化區,福川吉賀,(113)南工造字第00522號,慶安段0446地號
善化區,緻.未來,(113)南工造字第02356號,北小新段
善化區,美麗?南科,(111)南工造字第02097號,東勢寮168號旁
善化區,美麗綣公園,(113)南工造字第01038號,小新營
善化區,茴香5 享家,南工造字第00661號,什美段666.666-1地號
善化區,金福砌.天天開心6,(114)南工造字第01315號,東勢寮
大內區,內山村,(112)南工造字第02565號,石城里石仔瀨26號旁
大內區,萊茵河第2期,(112)南工造字第00537-01號,石子瀨125號對面
學甲區,印象米蘭,(112)南工造字第02001,麻學路三段465巷16號
學甲區,拾光藝墅6,(112)南工造字第02030號,新榮街33巷
學甲區,松景園(第六期),(110)南工造字第03470號,草?段269地號等9筆
學甲區,見築想想Ⅱ,,東陽段772，772-26~772-37
學甲區,鑫苑3,南工造字第02435,育德路
學甲區,鑫苑7,(114)南工造字第00828號,東興街
學甲區,鑫苑8,(114)南工造字第01439,中山路
安南區,九份樂活居NO.5,(110)南工造字第00924號,永續二十二街
安南區,伍沐?城敘,(112)南工造字第02949號,城西街一段249巷113弄
安南區,佳順?寓安,(110)南工造字第04103號,安和路四段163巷
安南區,信美心上,(111)南工造字第03295號,新宅五街
安南區,傑作NO.3,(113)南工造字第01180號,慈興七街
安南區,允成心上,(113)南工造字第01473號,新宅二街
安南區,合恆 寓紳鄰-曙光,(113)南工造字第00222-01號,安中路四段211巷附近
安南區,合恆   寓紳鄰-黎明,(114)南工造字第00493-01號,安中路四段211巷附近
安南區,國王湖,,國安段1719號
安南區,天生贏家6,南工造字第03380號,本原街一段75巷
安南區,天生贏家8,,公學路二段275巷
安南區,安中盛市,111南工造字第02709號,安中路二段766巷43號旁
安南區,宜田宜居14,(113)南工造字第02659號,溪心段1272-2~1272-7
安南區,富裕人生No.18,,安佃七街安佃五街交界
安南區,小王子7,(111)南工造字第00866號,本田路3段
安南區,尚讚11,(114)南工造字第00901號,大安街
安南區,居佳2,(113)南工造字第00814號,國聖段1340地號 等四筆
安南區,幸福御守第6期,(114)南工造字第00474號,總安段1072地號
安南區,悅讀耶魯,(114)南工造字第00160號,九份子大道
安南區,新宅好好,(113)南工造字第02652號,新宅六街
安南區,有鹿,(112)南工造字第01501號,州南七街
安南區,毅陽晶典13,(112)南工造字第00765號,安和路一段220巷22號對面
安南區,海富?深見,,國安段1768-2地號
安南區,淳仰律-三期,(111)南工造字第01112-02號,國安段1621-2地號
安南區,淳仰律-二期,(111)南工造字第01219號,國安段1551-2地號
安南區,皇邑-淵南520-2,(113)南工造字地01117號,安中路四段329巷
安南區,知築粼川,(110)南工造字第01816號,海東一街
安南區,硯青,(114)南工造字第00476號,州南路與州南五街口
安南區,翡翠森林-綠光區美地莊園,(111)南工造字第03415號,環館路358巷
安南區,薈萃居9,南工造字第03545號,宜居三路與樂活二十六街口
安南區,貝律侘美,(110)南工造字第03323-01號,安中路一段372巷
安南區,連建大賦,(113)南工造字第02617號,功安二街
安南區,連建拾禹,(110)南工造字第01268號,永續路與永續十六街口
安南區,邰欣地堡100期_透天,(111)南工造字第03943號,國安段1674地號
安南區,金艷富邸16,(114)南工造字第00190號,安佃二街
安南區,金莎麗緻11,(110)南工造字第02986號,學中段368地號
安南區,鎮漢谷根千,(114)南工造字第01266號,安佃二街
安定區,大京藏六期,(114)南工造字第01451號,海寮172之5號對面
安定區,安慶時尚II,(110)南工造字第00615-02號,港子尾56之25旁
安定區,安藝墅,(112)南工造字第03002號,海寮167
安定區,宜田頤恬,(110)南工造字第02012-02號,中榮段234地號
安定區,展泓?敦旭,(114)南工照字第00819號,新吉里124-2號對面
安定區,日初莊園III-春曉,南工造字第02060號,178市道近安吉路三段口
安定區,管弦苑,(112)南工造字第000443-01號,管寮5-5號及管寮5-6號
安定區,萊茵河第三期,(112)南工造字第01036-01,管寮102之1號旁
安定區,起家厝Ⅱ,(112)南工造字第00519-01號,海寮
安定區,邰欣地堡NO.91,(110)南工造字第02299號,光榮段144地號等2筆
安定區,金色風采12,(111)南工造字第00168號,中榮段許中營25之3斜對面
安定區,金艷富邸11,(112)南工造字第00522號,文科里
安平區,向陽居,(111)南工造字第00575號,健康四街
安平區,大隆風範 11,(111)南工造字第03897號,光州四街
安平區,大隆風範 12,(111)南工造字第03934號,健康四街及光州三街
安平區,大隆風範 15,(113)南工造字第03009號,光州七街
安平區,敦煌DAC?,南工造字第02231號,健康二街423號
安平區,臻藏詠潤,(109)南工造字第00240-01,建平七街453巷76號對面金華段154-3地號
安平區,華平旺第,南工造字第03581,健康二街與育平九街口
安平區,虹韻,(112)南工造字第02335號,怡平路140巷27弄與140巷交叉口
官田區,官邸,(113)南工造字第03367號,南廍里120號旁
將軍區,家薪10,(114)南工造字第01862號,仁和里仁巷23號對面
將軍區,愛上將軍,(114)南工造字第00563號,昌平
將軍區,遇見．方圓,,昌平
左鎮區,好運黏黏,(112)南工造字號02802號,菜寮段449-5 449-72~449-81地號
後壁區,?。拾光2期,南工造字第03379號,長短樹里藥店口3號對面
後壁區,碧荷園1期,(113)南工造字02522號,後壁里199-66號
後壁區,福砌禾生活,(113)南工造字第02354號,南84鄉道
新化區,協奏曲2,(111)南工造字第01087號,正新北路81巷43號斜對面
新化區,怡華豹南科AI智能科技園區,(113)南工造字第00569號,新化段太子廟小段26-2等筆地號
新市區,世界南科Ａ,(111)南工造字第02722號,富中街
新市區,南科一號院V,(113)南工造字第00934號,大順六路221巷
新市區,參拾睦,,大營段2789地號
新市區,囍事連連NO.18,(112)南工造字第00004號,港子墘段646地號
新市區,富築馨苑,(113)南工造字第02721號,大營段3495、3495-6號
新市區,煌聖．豐薈,(114)南工造字第00501,富林路
新市區,真祥家7,(110)南工造字第01030-01號,大洲段275-2地號等1筆土地
新市區,立龍富居,(114)南工造字第00021號,大社277-1號旁
新市區,筑美麗5,(113)南工造字第00523號,永就里110號旁
新市區,綠天地,(113)南工造字第02974號,大營段3190-0000地號 等5筆
新市區,麓白,(113)南工造字第03391號,港子墘段1090-25地號
新營區,佳展 · 大新,(112)南工造字第02702號,長榮路二段及長榮路二段43巷交叉口
新營區,佳順 · 大悅,(113)南工造字第00792號,金華路一段及三興街交叉口
新營區,安居樂業,(109)南工造字第00208號,中華路
新營區,新東皇邸23期,(111)南工造字第00232號,富強街5巷156號對面
新營區,新東皇邸27期,(114)南工造字地01335號,民族路43號對面
新營區,春禹雍閣,(111)南工造字第03707號,三興街275巷
新營區,春禹青沐,(112)南工造字第00934號,新民段28地號
新營區,朋緯不二5,(112)南工造字第00976號,嘉芳街25巷
新營區,森美學系列21,111南工造字第03323號,綠川段
新營區,白居逸,(111)南工造字第03805號,東勇街
新營區,蔚城,(110)南工造字第02770號,同濟街
新營區,賀守宅No.7,(114)南工造字第00023號,民族路27號旁空地
新營區,閱讀新太盟‧皆大歡喜NO.53,(113)南工造字第00901號,三興街205巷47弄
新營區,隋唐金華3．皆大歡喜NO.49,(110)南工造字第03782號,復興路420巷
新營區,非凡原墅30期,(111)南工造字第03829號,南紙街
東區,【MoMA15】,(109)南工造字第04431-01號,德高段1450-10地號
東區,仁和琢白2,(110)南工造字第03526號,仁和段
東區,富貴龍門,(109)南工造字第04304號,崇德三十街8號旁
東區,日東昇大於,(110)南工造字第03031-02號,仁和路130號
東區,祥閤10,(110)南工造字第04332號,裕德二街16號旁
東區,藏玉,(114)南工造字第00412號,虎尾段1671地號等14筆
東區,邰欣地堡70期,(109)南工造字第00262-01號,自由段52地號等2筆
東山區,保宥風華,(113)南工造字第01241號,頂窩
東山區,墅時光二期,(111)南工造字第00473號,龍鳳三街
東山區,春禹山行旅,(114)南工造字第00067號,龍鳳二街
柳營區,十美風彩2,南工造字第00901-01號,十美街
柳營區,愛上巴洛克2.皆大歡喜NO.51,(111)南工造字第02651-01號,十美街
柳營區,愛上巴洛克3．皆大歡喜NO.52,(111)南工造字第01629號,十美街
柳營區,柳營太康富居,(113)南工造字第01373號,太康
柳營區,森美學22,(113)南工造字第02062號,柳南段
柳營區,菁英匯,(114)南工造字地01033號,篤農段968-13等地號
楠西區,山水匯第二期,(112)南工造字第02723號,民族路
楠西區,楠西帝寶,南工造字第01128號,埔尾段769，769-12至32地號
楠西區,樂陶5期,(113)南工造字第02545號,中正路
楠西區,陽光米蘭九-藏富,(113)南工造字地00321號,水庫路326號旁
歸仁區,好御兆9,(113)南工造字第00843-01號,六甲二街
歸仁區,崇品虹瓦集光,(111)南工造字第03560號,大成路
歸仁區,得意人生第十三期,南工造字第00398號,仁愛南街
歸仁區,漁上游8·歸心市見,(113) 南工造字第00449-01號,成功一街
歸仁區,金色風采13,(110)南工造字第04016號,丁厝街35巷36-1號旁
永康區,上上富自強,(110)南工造字第04089號,永康區自強路379巷自強段256-1~256-8地號
永康區,上邑22期,(113)南工造字第02701號,烏竹街與烏竹北街62巷交叉口
永康區,上邑23期,(113)南工造字第02549號,烏竹北街70號旁
永康區,優學9期,南工造字第02536-01號,龍潭街144巷
永康區,創築,(113)南工造字第02171號,?埕段
永康區,勝美A Park,(111)南工造字第04406號,永運一路與平道十二路交叉口
永康區,呈豐日日38,(112)南工造字第02878號,三村一街138巷22號對面
永康區,呈豐日日39,(110)南工造字第03207-01號,仁愛街
永康區,品陽永康院,(114)南工造字第00084-01號,北灣段0590號等7筆
永康區,埕光序曲,(114)南工造字第00600號,永榮路
永康區,夏朵8,(114)南工造字第00869號,信義二街
永康區,安新家2,(112)南工造字第02481號,大灣三街
永康區,巨富上院,(110)南工造字第03166號,西灣段443地號
永康區,幾何Ⅵ,(110)南工造字第00693號,大灣三街21巷38號對面
永康區,建築家INFINITE,(114)南工造字第01176號,鹽東段
永康區,承安永平3,109南工造字第03299,洲尾街74巷
永康區,承安永平5,109南工造字第3102號,洲尾街
永康區,承安永平6,109南工造字第3694號,大安街
永康區,日晟上河堤5,(110)南工造字第00234號,龍橋街270巷
永康區,春福平蒔舒活區,(111)南工造字第03178號,永興段183-1地號
永康區,晴天2,(111)南工造字第00850號,東邊寮段170地號
永康區,欣之苑,(112)南工造字第00476-01號,龍中街
