edu_code,school_name,stage,school_type,district,address_norm,lon,lat,geom,center_source,match_level,dist_m,updated_at,addr_raw
113K06,七股區三股國民小學附設幼兒園,幼稚園,公立,七股區,台南市七股區100號,,,,NONE,NONE,,2026-03-24 14:33:07.485991+00,[724]臺南市七股區三股里7鄰100號
114X73,七股區竹橋國民小學附設幼兒園,幼稚園,公立,七股區,台南市七股區130號,,,,NONE,NONE,,2026-03-24 14:33:07.485991+00,[724]臺南市七股區竹橋里11鄰130號
114X9E,七股區農會附設私立幼兒園,幼稚園,私立,七股區,台南市七股區272號,,,,NONE,NONE,,2026-03-24 14:33:07.485991+00,[724]臺南市七股區大埕里1鄰272號
114681,市立七股國小,國小,公立,七股區,台南市七股區395號,,,,NONE,NONE,,2026-03-24 14:31:41.155065+00,[724]臺南市七股區大埕里395號
114684,市立三股國小,國小,公立,七股區,台南市七股區100號,,,,NONE,NONE,,2026-03-24 14:31:41.155065+00,[724]臺南市七股區三股里100號
114685,市立光復生態實驗小學,國小,公立,七股區,台南市七股區1號,,,,NONE,NONE,,2026-03-24 14:31:41.155065+00,[724]臺南市七股區塩埕里1號
114691,市立大文國小,國小,公立,七股區,台南市七股區36之2號,,,,NONE,NONE,,2026-03-24 14:31:41.155065+00,[724]臺南市七股區大寮里36之2號
114689,市立建功國小,國小,公立,七股區,台南市七股區74之1號,,,,NONE,NONE,,2026-03-24 14:31:41.155065+00,[724]臺南市七股區十份里74之1號
114528,市立後港國中,國中,公立,七股區,台南市七股區頂潭93號,,,,NONE,NONE,,2026-03-24 14:31:41.155065+00,[724]臺南市七股區大潭里頂潭93號
114682,市立後港國小,國小,公立,七股區,台南市七股區台潭1號,,,,NONE,NONE,,2026-03-24 14:31:41.155065+00,[724]臺南市七股區大潭里台潭1號
114692,市立樹林國小,國小,公立,七股區,台南市七股區65之11號,,,,NONE,NONE,,2026-03-24 14:31:41.155065+00,[724]臺南市七股區樹林里65之11號
114529,市立竹橋國中,國中,公立,七股區,台南市七股區74之2號,,,,NONE,NONE,,2026-03-24 14:31:41.155065+00,[724]臺南市七股區義合里74之2號
114683,市立竹橋國小,國小,公立,七股區,台南市七股區130號,,,,NONE,NONE,,2026-03-24 14:31:41.155065+00,[724]臺南市七股區竹橋里130號
114686,市立篤加國小,國小,公立,七股區,台南市七股區120號,,,,NONE,NONE,,2026-03-24 14:31:41.155065+00,[724]臺南市七股區篤加里120號
114688,市立龍山分校,國小,公立,七股區,台南市七股區12號,,,,NONE,NONE,,2026-03-24 14:31:41.155065+00,[724]臺南市七股區龍山里12號
111502,私立昭明國中,國中,私立,七股區,台南市七股區315號,,,,NONE,NONE,,2026-03-24 14:31:41.155065+00,[724]臺南市七股區大埕里315號
111XE3,私立瑞珍幼兒園,幼稚園,私立,七股區,台南市七股區大寮35號,,,,NONE,NONE,,2026-03-24 14:31:41.155065+00,[724]臺南市七股區大寮里5鄰大寮35-5號
114X32,下營區中營國民小學附設幼兒園,幼稚園,公立,下營區,台南市下營區270號,,,,NONE,NONE,,2026-03-24 14:33:07.485991+00,[735]臺南市下營區開化里4鄰270號
114X94,下營區賀建國民小學附設幼兒園,幼稚園,公立,下營區,台南市下營區麻豆寮49號,,,,NONE,NONE,,2026-03-24 14:33:07.485991+00,[735]臺南市下營區賀建里5鄰麻豆寮49號
