Seq,區碼,區名,地段碼,地段名,地號,經度,緯度
1,D38,南化區,8014,南化段,133-2,120.4881414605,23.0376223677
2,D38,南化區,8014,南化段,133-4,120.4880159900,23.0374937575
3,D38,南化區,8014,南化段,134,120.4882784845,23.0380110715
4,D38,南化區,8014,南化段,139,120.4875756317,23.0370169954
5,D38,南化區,8014,南化段,140,120.4877157480,23.0374952764
6,D38,南化區,8014,南化段,162-15,120.4880869789,23.0447564282
7,D38,南化區,8014,南化段,162-16,120.4881036664,23.0444357144
8,D38,南化區,8014,南化段,162-41,120.4873513522,23.0414803680
9,D38,南化區,8014,南化段,162-353,120.4832810783,23.0415733302
10,D38,南化區,8014,南化段,162-354,120.4833782444,23.0411205699
11,D38,南化區,8014,南化段,162-359,120.4855620531,23.0413459425
12,D38,南化區,8014,南化段,173,120.4810107067,23.0417445716
13,D38,南化區,8014,南化段,456,120.4964787789,23.0494792556
14,D38,南化區,8014,南化段,514,120.5057428250,23.0502737808
15,D38,南化區,8014,南化段,578,120.4935587638,23.0545066783
16,D38,南化區,8014,南化段,588,120.4982039410,23.0541154637
17,D38,南化區,8014,南化段,626,120.5057886863,23.0559172196
18,D38,南化區,8014,南化段,709-1,120.4879319281,23.0538081312
19,D38,南化區,8014,南化段,718-1,120.4874324853,23.0554259371
20,D38,南化區,8014,南化段,762,120.4848527761,23.0611874465
21,D38,南化區,8014,南化段,782-4,120.4838766098,23.0613968870
22,D38,南化區,8014,南化段,825-22,120.4794753000,23.0705624247
23,D38,南化區,8014,南化段,853,120.4823895748,23.0613459605
24,D38,南化區,8014,南化段,890,120.4774754473,23.0543839785
25,D38,南化區,8014,南化段,948-2,120.4849471533,23.0482596238
26,D38,南化區,8014,南化段,1017-6,120.4812671827,23.0480412942
27,D38,南化區,8014,南化段,1076-5,120.4650991087,23.0484183151
28,D38,南化區,8014,南化段,1076-9,120.4649289044,23.0479371182
29,D38,南化區,8014,南化段,1180-10,120.4618177599,23.0459765620
30,D38,南化區,8014,南化段,1192-1,120.4626522341,23.0417904340
31,D38,南化區,8014,南化段,1204,120.4679549686,23.0413337161
32,D38,南化區,8014,南化段,1228-12,120.4701138193,23.0418370893
33,D38,南化區,8014,南化段,1234,120.4706704425,23.0404130001
34,D38,南化區,8014,南化段,1262-2,120.5149636582,23.0480994887
35,D38,南化區,8014,南化段,1270-28,120.5012931165,23.0415019808
36,D38,南化區,8014,南化段,1304,120.5053824151,23.0471990201
37,D38,南化區,8014,南化段,1309,120.5056535555,23.0453797185
38,D38,南化區,8014,南化段,1336,120.5066627035,23.0426180764
39,D38,南化區,8014,南化段,1367-75,120.5146480974,23.0493554754
40,D38,南化區,8014,南化段,1367-124,120.5132219190,23.0482729728
41,D38,南化區,8014,南化段,1367-140,120.5141637831,23.0482866745
42,D38,南化區,8014,南化段,1370-113,120.5057648806,23.0475595990
43,D38,南化區,8014,南化段,1370-121,120.5062815882,23.0482067411
44,D38,南化區,8014,南化段,1370-133,120.5066705155,23.0481046962
45,D38,南化區,8014,南化段,1370-165,120.5052189269,23.0533530515
46,D38,南化區,8014,南化段,1370-171,120.5055052159,23.0558071466
