Seq,區碼,區名,地段碼,地段名,地號,經度,緯度
1,D07,安平區,0122,安平段,1026,120.1674994071,23.0013525177
2,D07,安平區,0122,安平段,1026-1,120.1674240810,23.0013954327
3,D07,安平區,0122,安平段,1026-2,120.1673153680,23.0014565383
4,D07,安平區,0122,安平段,1026-3,120.1672005932,23.0014339234
5,D07,安平區,0122,安平段,1026-4,120.1672411991,23.0013992025
6,D07,安平區,0122,安平段,1026-5,120.1672817142,23.0013659840
7,D07,安平區,0122,安平段,1026-6,120.1673217623,23.0013323801
8,D07,安平區,0122,安平段,1026-7,120.1673615380,23.0012989250
9,D07,安平區,0122,安平段,1026-8,120.1674075055,23.0012602661
10,D07,安平區,0122,安平段,1028,120.1671203742,23.0013454853
11,D07,安平區,0122,安平段,1028-1,120.1671608084,23.0013119719
12,D07,安平區,0122,安平段,1028-2,120.1671954095,23.0012832920
13,D07,安平區,0122,安平段,1028-3,120.1672304485,23.0012537783
14,D07,安平區,0122,安平段,1028-4,120.1673212107,23.0012183636
15,D07,安平區,0122,安平段,1028-6,120.1672822317,23.0011787838
16,D07,安平區,0122,安平段,1029,120.1671085801,23.0012339199
17,D07,安平區,0122,安平段,1029-1,120.1671594375,23.0011915192
18,D07,安平區,0122,安平段,1029-2,120.1672099175,23.0011496682
19,D07,安平區,0122,安平段,1029-3,120.1670224882,23.0011684716
20,D07,安平區,0122,安平段,1029-4,120.1670746981,23.0011248274
21,D07,安平區,0122,安平段,1029-5,120.1671270334,23.0010812622
22,D07,安平區,0122,安平段,1029-6,120.1671905364,23.0010326063
23,D07,安平區,0122,安平段,1029-7,120.1672599591,23.0011075645
24,D07,安平區,0122,安平段,1029-8,120.1670489763,23.0011469581
25,D07,安平區,0122,安平段,1029-9,120.1671011107,23.0011033081
26,D07,安平區,0122,安平段,1029-10,120.1671535539,23.0010598013
27,D07,安平區,0122,安平段,1030,120.1669322941,23.0014343150
28,D07,安平區,0122,安平段,1031,120.1670212924,23.0012183289
29,D07,安平區,0122,安平段,1031-1,120.1669938251,23.0012423299
30,D07,安平區,0122,安平段,1031-2,120.1669649040,23.0012643968
31,D07,安平區,0122,安平段,1034,120.1667442011,23.0016639047
32,D07,安平區,0122,安平段,1034-1,120.1666929535,23.0016383408
33,D07,安平區,0122,安平段,1034-2,120.1666636255,23.0016083615
34,D07,安平區,0122,安平段,1034-3,120.1666340263,23.0015786369
35,D07,安平區,0122,安平段,1034-4,120.1666395222,23.0014796764
36,D07,安平區,0122,安平段,1034-5,120.1665412615,23.0016475549
37,D07,安平區,0122,安平段,1034-6,120.1665031573,23.0016691944
38,D07,安平區,0122,安平段,1034-7,120.1664648389,23.0016905489
39,D07,安平區,0122,安平段,1034-8,120.1664271532,23.0017124940
40,D07,安平區,0122,安平段,1034-9,120.1663867458,23.0017350647
41,D07,安平區,0122,安平段,1034-10,120.1663444353,23.0017586501
42,D07,安平區,0122,安平段,1034-11,120.1663018732,23.0017824111
43,D07,安平區,0122,安平段,1034-12,120.1666080690,23.0015005529
44,D07,安平區,0122,安平段,1034-13,120.1665797831,23.0015239295
45,D07,安平區,0122,安平段,1034-14,120.1665510204,23.0015477988
46,D07,安平區,0122,安平段,1034-15,120.1665221198,23.0015715029
47,D07,安平區,0122,安平段,1035,120.1662166666,23.0018319472
48,D07,安平區,0122,安平段,1036,120.1670476106,23.0009591130
49,D07,安平區,0122,安平段,1036-1,120.1670237866,23.0009284678
50,D07,安平區,0122,安平段,1036-2,120.1669974686,23.0009012323
51,D07,安平區,0122,安平段,1036-3,120.1669704919,23.0008746838
52,D07,安平區,0122,安平段,1036-4,120.1669531818,23.0008557307
53,D07,安平區,0122,安平段,1036-5,120.1669331150,23.0009726852
54,D07,安平區,0122,安平段,1036-6,120.1669036635,23.0009972409
55,D07,安平區,0122,安平段,1036-7,120.1668750632,23.0010210041
56,D07,安平區,0122,安平段,1036-8,120.1668458620,23.0010454595
57,D07,安平區,0122,安平段,1037,120.1668435125,23.0007777577
58,D07,安平區,0122,安平段,1038,120.1667766072,23.0011030016
