Seq,區碼,區名,地段碼,地段名,地號,經度,緯度
1,D31,左鎮區,6754,左鎮段,14,120.4087204599,23.0760474864
2,D31,左鎮區,6754,左鎮段,18-1,120.4086092590,23.0748706486
3,D31,左鎮區,6754,左鎮段,19,120.4086001248,23.0739272838
4,D31,左鎮區,6754,左鎮段,19-1,120.4089023873,23.0741739074
5,D31,左鎮區,6754,左鎮段,20,120.4080363191,23.0734542407
6,D31,左鎮區,6754,左鎮段,21,120.4079942294,23.0736255900
7,D31,左鎮區,6754,左鎮段,21-1,120.4081651144,23.0739211049
8,D31,左鎮區,6754,左鎮段,21-2,120.4079499799,23.0740492696
9,D31,左鎮區,6754,左鎮段,21-4,120.4082801296,23.0739196693
10,D31,左鎮區,6754,左鎮段,22,120.4072865438,23.0739964234
11,D31,左鎮區,6754,左鎮段,23,120.4073297700,23.0742355964
12,D31,左鎮區,6754,左鎮段,27,120.4053110566,23.0742387243
13,D31,左鎮區,6754,左鎮段,38,120.4034620865,23.0742919228
14,D31,左鎮區,6754,左鎮段,45,120.4010260407,23.0739525962
15,D31,左鎮區,6754,左鎮段,57,120.3998407859,23.0675837350
16,D31,左鎮區,6754,左鎮段,89,120.4082282584,23.0729630117
17,D31,左鎮區,6754,左鎮段,106,120.4081722678,23.0718544128
18,D31,左鎮區,6754,左鎮段,118-1,120.4052506098,23.0683027541
19,D31,左鎮區,6754,左鎮段,120-1,120.4067752498,23.0675837853
20,D31,左鎮區,6754,左鎮段,120-2,120.4060771650,23.0676009211
21,D31,左鎮區,6754,左鎮段,124,120.4052715044,23.0680372157
22,D31,左鎮區,6754,左鎮段,124-1,120.4060061641,23.0663008699
23,D31,左鎮區,6754,左鎮段,136-5,120.4048411153,23.0605744004
24,D31,左鎮區,6754,左鎮段,136-7,120.4047901600,23.0613559366
25,D31,左鎮區,6754,左鎮段,138-1,120.4037445226,23.0612826258
26,D31,左鎮區,6754,左鎮段,138-3,120.4039495178,23.0611310197
27,D31,左鎮區,6754,左鎮段,141-1,120.4035725103,23.0613152043
28,D31,左鎮區,6754,左鎮段,151,120.4044658412,23.0609034073
29,D31,左鎮區,6754,左鎮段,153,120.4056387493,23.0612708965
30,D31,左鎮區,6754,左鎮段,153-1,120.4058799137,23.0613485875
31,D31,左鎮區,6754,左鎮段,155-2,120.4058388335,23.0622555865
32,D31,左鎮區,6754,左鎮段,155-3,120.4053558833,23.0609802601
33,D31,左鎮區,6754,左鎮段,161,120.4079365313,23.0621523496
34,D31,左鎮區,6754,左鎮段,161-1,120.4081744217,23.0625630145
35,D31,左鎮區,6754,左鎮段,161-4,120.4085533632,23.0625592323
36,D31,左鎮區,6754,左鎮段,164,120.4081164601,23.0627492934
37,D31,左鎮區,6754,左鎮段,165,120.4082919660,23.0629761526
38,D31,左鎮區,6754,左鎮段,166-1,120.4082051613,23.0632926593
39,D31,左鎮區,6754,左鎮段,169-1,120.4080019123,23.0643053708
40,D31,左鎮區,6754,左鎮段,171,120.4082176262,23.0646570982
41,D31,左鎮區,6754,左鎮段,174,120.4080515077,23.0663177834
42,D31,左鎮區,6754,左鎮段,182-2,120.4130662645,23.0674045859
43,D31,左鎮區,6754,左鎮段,182-4,120.4125677455,23.0676460228
44,D31,左鎮區,6754,左鎮段,191,120.4144058485,23.0682694713
45,D31,左鎮區,6754,左鎮段,191-2,120.4149990211,23.0676809571
46,D31,左鎮區,6754,左鎮段,191-3,120.4152520062,23.0681012493
47,D31,左鎮區,6754,左鎮段,192,120.4154701118,23.0675708582
48,D31,左鎮區,6754,左鎮段,195-1,120.4170529350,23.0670840797
49,D31,左鎮區,6754,左鎮段,195-4,120.4166846192,23.0675262316
50,D31,左鎮區,6754,左鎮段,195-7,120.4161937606,23.0667690022
51,D31,左鎮區,6754,左鎮段,197,120.4171823711,23.0659034238
52,D31,左鎮區,6754,左鎮段,197-1,120.4170220933,23.0657299774
53,D31,左鎮區,6754,左鎮段,210-1,120.4171416792,23.0653564716
54,D31,左鎮區,6754,左鎮段,252-1,120.4119913884,23.0609517025
55,D31,左鎮區,6754,左鎮段,252-3,120.4123765411,23.0615743721
56,D31,左鎮區,6754,左鎮段,252-6,120.4111803304,23.0611620228
57,D31,左鎮區,6754,左鎮段,252-10,120.4114846307,23.0612760676
58,D31,左鎮區,6754,左鎮段,252-11,120.4113902435,23.0612508243
59,D31,左鎮區,6754,左鎮段,252-12,120.4116228458,23.0612203324
60,D31,左鎮區,6754,左鎮段,253-1,120.4129682980,23.0609811835
61,D31,左鎮區,6754,左鎮段,272-11,120.4032786120,23.0548653478
62,D31,左鎮區,6754,左鎮段,289,120.4029709552,23.0608917143
63,D31,左鎮區,6754,左鎮段,289-2,120.4031335082,23.0611027313
64,D31,左鎮區,6754,左鎮段,290-9,120.4025251276,23.0613032971
65,D31,左鎮區,6754,左鎮段,293-1,120.4021816951,23.0609224975
66,D31,左鎮區,6754,左鎮段,293-2,120.4018036914,23.0610818798
67,D31,左鎮區,6754,左鎮段,293-3,120.4015686108,23.0611724728
68,D31,左鎮區,6754,左鎮段,309,120.3996926897,23.0582160977
69,D31,左鎮區,6754,左鎮段,309-2,120.4000472304,23.0579672191
70,D31,左鎮區,6754,左鎮段,309-4,120.3995363291,23.0585640257
71,D31,左鎮區,6754,左鎮段,309-5,120.3989213948,23.0576659106
72,D31,左鎮區,6754,左鎮段,309-6,120.3991018584,23.0578252318
73,D31,左鎮區,6754,左鎮段,309-7,120.3997950696,23.0574800966
74,D31,左鎮區,6754,左鎮段,309-8,120.3997538045,23.0570606027
75,D31,左鎮區,6754,左鎮段,309-9,120.3993767077,23.0571082884
76,D31,左鎮區,6754,左鎮段,309-10,120.3991840520,23.0567711937
