Seq,區碼,區名,地段碼,地段名,地號,經度,緯度
1,D34,關廟區,7029,新埔段,13,120.3637299470,22.9799789575
2,D34,關廟區,7029,新埔段,13-9,120.3637134111,22.9775317042
3,D34,關廟區,7029,新埔段,24,120.3640805098,22.9756580467
4,D34,關廟區,7029,新埔段,25,120.3636651653,22.9757586245
5,D34,關廟區,7029,新埔段,33-1,120.3639139600,22.9733672537
6,D34,關廟區,7029,新埔段,33-18,120.3643839842,22.9734045389
7,D34,關廟區,7029,新埔段,35,120.3638496810,22.9725838375
8,D34,關廟區,7029,新埔段,35-9,120.3639675935,22.9712021376
9,D34,關廟區,7029,新埔段,36-5,120.3640787280,22.9717978724
10,D34,關廟區,7029,新埔段,96-90,120.3559390264,22.9751955658
11,D34,關廟區,7029,新埔段,303,120.3523654413,22.9756107245
12,D34,關廟區,7029,新埔段,311,120.3532995267,22.9755186798
13,D34,關廟區,7029,新埔段,312,120.3535368262,22.9756891986
14,D34,關廟區,7029,新埔段,314-2,120.3539326310,22.9756934441
15,D34,關廟區,7029,新埔段,315-4,120.3543869306,22.9761800673
16,D34,關廟區,7029,新埔段,346-1,120.3503696163,22.9756467676
17,D34,關廟區,7029,新埔段,380-5,120.3480073421,22.9752008842
18,D34,關廟區,7029,新埔段,396-1,120.3463478387,22.9742042809
19,D34,關廟區,7029,新埔段,396-3,120.3467680597,22.9759112768
20,D34,關廟區,7029,新埔段,403,120.3458301343,22.9782461000
21,D34,關廟區,7029,新埔段,423,120.3465838796,22.9784546226
22,D34,關廟區,7029,新埔段,441-1,120.3479921421,22.9821038864
23,D34,關廟區,7029,新埔段,489-2,120.3484398382,22.9758692231
24,D34,關廟區,7029,新埔段,547,120.3516243706,22.9820463638
25,D34,關廟區,7029,新埔段,547-1,120.3514010011,22.9818016709
26,D34,關廟區,7029,新埔段,572-6,120.3559609259,22.9791710888
27,D34,關廟區,7029,新埔段,580-1,120.3551474806,22.9764086998
28,D34,關廟區,7029,新埔段,618-31,120.3503016120,22.9822783538
29,D34,關廟區,7029,新埔段,618-33,120.3522548718,22.9819517653
30,D34,關廟區,7029,新埔段,618-84,120.3548261165,22.9887568505
31,D34,關廟區,7029,新埔段,649-3,120.3526820074,22.9953491410
32,D34,關廟區,7029,新埔段,649-5,120.3521412267,22.9889956918
33,D34,關廟區,7029,新埔段,649-10,120.3500584427,22.9918621051
34,D34,關廟區,7029,新埔段,719-1,120.3472362217,22.9821529359
35,D34,關廟區,7029,新埔段,723-5,120.3462716829,22.9824971449
36,D34,關廟區,7029,新埔段,729,120.3462680820,22.9838602801
37,D34,關廟區,7029,新埔段,732,120.3463193371,22.9843570555
38,D34,關廟區,7029,新埔段,756-1,120.3461817506,22.9863976068
39,D34,關廟區,7029,新埔段,760,120.3463026423,22.9878281164
40,D34,關廟區,7029,新埔段,760-8,120.3462504998,22.9885081775
41,D34,關廟區,7029,新埔段,770,120.3450086538,22.9888670445
42,D34,關廟區,7029,新埔段,814,120.3427350833,22.9799595721
43,D34,關廟區,7029,新埔段,886-1,120.3379179741,22.9812318222
44,D34,關廟區,7029,新埔段,900-38,120.3397656337,22.9823730222
45,D34,關廟區,7029,新埔段,903-2,120.3351947934,22.9821554051
46,D34,關廟區,7029,新埔段,917-5,120.3387216329,22.9885062692
47,D34,關廟區,7029,新埔段,920-4,120.3375855150,22.9864498934
48,D34,關廟區,7029,新埔段,955,120.3283492471,22.9856094326
49,D34,關廟區,7029,新埔段,957-2,120.3286175608,22.9844785546
50,D34,關廟區,7029,新埔段,960-1,120.3291783626,22.9828206333
51,D34,關廟區,7029,新埔段,986,120.3299401972,22.9819193114
52,D34,關廟區,7029,新埔段,1008,120.3284243517,22.9797854650
53,D34,關廟區,7029,新埔段,1131-1,120.3376634275,22.9758775855
54,D34,關廟區,7029,新埔段,1136,120.3386043559,22.9756715090
55,D34,關廟區,7029,新埔段,1144,120.3396473870,22.9756401670
56,D34,關廟區,7029,新埔段,1166,120.3375555811,22.9735432185
57,D34,關廟區,7029,新埔段,1201-1,120.3381998360,22.9742968371
58,D34,關廟區,7029,新埔段,1206,120.3408433796,22.9752565667
59,D34,關廟區,7029,新埔段,1380,120.3423790031,22.9688269276
60,D34,關廟區,7029,新埔段,1476-2,120.3333734862,22.9692711901
61,D34,關廟區,7029,新埔段,1678,120.3310218647,22.9757102126
62,D34,關廟區,7029,新埔段,1678-3,120.3308023979,22.9754911916
63,D34,關廟區,7029,新埔段,1680,120.3316268905,22.9753014539
64,D34,關廟區,7029,新埔段,1711-1,120.3292041531,22.9749811427
65,D34,關廟區,7029,新埔段,1722,120.3285821463,22.9743241968
66,D34,關廟區,7029,新埔段,1727-1,120.3285558343,22.9731414678
67,D34,關廟區,7029,新埔段,1730,120.3284513630,22.9742961279
68,D34,關廟區,7029,新埔段,1791,120.3282289222,22.9780943415
69,D34,關廟區,7029,新埔段,1795,120.3285079959,22.9774655611
70,D34,關廟區,7029,新埔段,1796,120.3281933114,22.9773139466
71,D34,關廟區,7029,新埔段,1797,120.3284773935,22.9772241782
72,D34,關廟區,7029,新埔段,1809,120.3283557397,22.9763747691
73,D34,關廟區,7029,新埔段,1821-1,120.3279051017,22.9754283770
74,D34,關廟區,7029,新埔段,1822,120.3281378973,22.9755245821
75,D34,關廟區,7029,新埔段,1822-2,120.3285360987,22.9755952625
76,D34,關廟區,7029,新埔段,1848-1,120.3284587947,22.9718695530
77,D34,關廟區,7029,新埔段,1853-1,120.3285752168,22.9711024620
78,D34,關廟區,7029,新埔段,1973,120.3619481497,22.9769536914
79,D34,關廟區,7029,新埔段,1974-12,120.3640867040,22.9778595569
80,D34,關廟區,7029,新埔段,1988-2,120.3610186332,22.9706212546
81,D34,關廟區,7029,新埔段,1988-56,120.3676901000,22.9690094282
82,D34,關廟區,7029,新埔段,1988-206,120.3641705894,22.9663889824
83,D34,關廟區,7029,新埔段,2044-2,120.3554291887,22.9837651248
84,D34,關廟區,7029,新埔段,2059-1,120.3553342730,22.9803005774
85,D34,關廟區,7029,新埔段,13-21,120.3636647580,22.9780019632
86,D34,關廟區,7029,新埔段,22-1,120.3639876719,22.9762323413
87,D34,關廟區,7029,新埔段,22-6,120.3637665636,22.9765907185
88,D34,關廟區,7029,新埔段,81-2,120.3669166707,22.9690258470
89,D34,關廟區,7029,新埔段,96-30,120.3553044841,22.9737734141
90,D34,關廟區,7029,新埔段,196-5,120.3435423739,22.9690112924
91,D34,關廟區,7029,新埔段,309,120.3531115333,22.9757691572
92,D34,關廟區,7029,新埔段,315-5,120.3542637343,22.9763409164
93,D34,關廟區,7029,新埔段,339,120.3512332098,22.9756892143
94,D34,關廟區,7029,新埔段,396-5,120.3454952076,22.9753590423
95,D34,關廟區,7029,新埔段,397-2,120.3453405391,22.9764149480
96,D34,關廟區,7029,新埔段,481-4,120.3497958950,22.9759287388
97,D34,關廟區,7029,新埔段,492,120.3488089776,22.9755812173
98,D34,關廟區,7029,新埔段,558,120.3536569478,22.9822013334
99,D34,關廟區,7029,新埔段,571,120.3549593116,22.9795763957
100,D34,關廟區,7029,新埔段,607-7,120.3592150682,22.9850615021
101,D34,關廟區,7029,新埔段,618-46,120.3560713314,22.9870955540
102,D34,關廟區,7029,新埔段,647-21,120.3548807844,22.9888475284
103,D34,關廟區,7029,新埔段,649-7,120.3504467213,22.9887347181
104,D34,關廟區,7029,新埔段,686-1,120.3493194112,22.9887271968
105,D34,關廟區,7029,新埔段,686-7,120.3492523173,22.9889745946
106,D34,關廟區,7029,新埔段,712-4,120.3496264405,22.9822310888
107,D34,關廟區,7029,新埔段,723-3,120.3467511785,22.9821979962
108,D34,關廟區,7029,新埔段,724,120.3463513264,22.9835072296
109,D34,關廟區,7029,新埔段,736-3,120.3464832671,22.9852075807
110,D34,關廟區,7029,新埔段,760-4,120.3460000203,22.9877890491
111,D34,關廟區,7029,新埔段,760-9,120.3463291253,22.9882441233
112,D34,關廟區,7029,新埔段,769,120.3447941757,22.9886683593
113,D34,關廟區,7029,新埔段,774-6,120.3462654102,22.9856387534
114,D34,關廟區,7029,新埔段,858,120.3372179769,22.9770958487
115,D34,關廟區,7029,新埔段,859,120.3369557585,22.9778220722
116,D34,關廟區,7029,新埔段,865-6,120.3365558172,22.9790167112
117,D34,關廟區,7029,新埔段,868-4,120.3374822236,22.9802922807
118,D34,關廟區,7029,新埔段,868-6,120.3374824071,22.9801828073
119,D34,關廟區,7029,新埔段,898,120.3369773540,22.9820675604
120,D34,關廟區,7029,新埔段,903-9,120.3349796906,22.9821196350
121,D34,關廟區,7029,新埔段,908,120.3315736766,22.9822101549
122,D34,關廟區,7029,新埔段,917-6,120.3391291044,22.9887860710
123,D34,關廟區,7029,新埔段,920-9,120.3392661398,22.9900169248
124,D34,關廟區,7029,新埔段,931,120.3331821433,22.9891013466
125,D34,關廟區,7029,新埔段,942-4,120.3288483987,22.9872211576
126,D34,關廟區,7029,新埔段,947-1,120.3323064841,22.9882643250
127,D34,關廟區,7029,新埔段,957-1,120.3284410789,22.9838681071
128,D34,關廟區,7029,新埔段,961-7,120.3276172509,22.9824747683
129,D34,關廟區,7029,新埔段,963-1,120.3275664005,22.9818965988
130,D34,關廟區,7029,新埔段,987,120.3296046071,22.9819154502
131,D34,關廟區,7029,新埔段,993,120.3284709000,22.9801882263
132,D34,關廟區,7029,新埔段,1087-5,120.3354614945,22.9760572254
133,D34,關廟區,7029,新埔段,1130,120.3372534737,22.9750855416
134,D34,關廟區,7029,新埔段,1145-2,120.3401817716,22.9753931871
135,D34,關廟區,7029,新埔段,1167,120.3374248926,22.9739559217
136,D34,關廟區,7029,新埔段,1210,120.3412949495,22.9752350418
137,D34,關廟區,7029,新埔段,1217-9,120.3421105593,22.9756033684
138,D34,關廟區,7029,新埔段,1337,120.3359644885,22.9712404250
139,D34,關廟區,7029,新埔段,1379,120.3425216470,22.9689182253
140,D34,關廟區,7029,新埔段,1394,120.3398375797,22.9692948898
141,D34,關廟區,7029,新埔段,1415,120.3376695639,22.9686701556
142,D34,關廟區,7029,新埔段,1451,120.3369914273,22.9690225120
143,D34,關廟區,7029,新埔段,1452-1,120.3366540270,22.9690115621
144,D34,關廟區,7029,新埔段,1460,120.3349291486,22.9682768010
145,D34,關廟區,7029,新埔段,1546,120.3376505673,22.9714874732
146,D34,關廟區,7029,新埔段,1575-1,120.3374026342,22.9723547756
147,D34,關廟區,7029,新埔段,1669-2,120.3331439748,22.9756338858
148,D34,關廟區,7029,新埔段,1675,120.3317213109,22.9761468098
149,D34,關廟區,7029,新埔段,1743,120.3297768862,22.9756206076
150,D34,關廟區,7029,新埔段,1770-1,120.3293868549,22.9771280393
151,D34,關廟區,7029,新埔段,1792-1,120.3286720362,22.9777060163
152,D34,關廟區,7029,新埔段,1841-4,120.3282153128,22.9712813232
153,D34,關廟區,7029,新埔段,1849-1,120.3284117397,22.9711502520
154,D34,關廟區,7029,新埔段,1854,120.3285328943,22.9709785513
155,D34,關廟區,7029,新埔段,1970-17,120.3682757184,22.9819188196
156,D34,關廟區,7029,新埔段,1971,120.3639630292,22.9796964578
157,D34,關廟區,7029,新埔段,1978-26,120.3613686001,22.9758124043
158,D34,關廟區,7029,新埔段,1988-15,120.3636284476,22.9692245788
159,D34,關廟區,7029,新埔段,1988-74,120.3640068574,22.9646908752
160,D34,關廟區,7029,新埔段,2015,120.3551247571,22.9861029783
161,D34,關廟區,7029,新埔段,2017,120.3556279799,22.9849570911
162,D34,關廟區,7029,新埔段,2062-11,120.3564183886,22.9824964582
163,D34,關廟區,7029,新埔段,1-12,120.3722616890,22.9824987065
164,D34,關廟區,7029,新埔段,13-13,120.3642964750,22.9772191975
165,D34,關廟區,7029,新埔段,33,120.3633889386,22.9738402302
166,D34,關廟區,7029,新埔段,35-8,120.3646032586,22.9706881231
167,D34,關廟區,7029,新埔段,35-12,120.3637150952,22.9723260716
168,D34,關廟區,7029,新埔段,36-4,120.3646499264,22.9716991362
169,D34,關廟區,7029,新埔段,62-1,120.3677672142,22.9622056687
170,D34,關廟區,7029,新埔段,96-77,120.3563841248,22.9755952171
171,D34,關廟區,7029,新埔段,305,120.3527915608,22.9757029327
172,D34,關廟區,7029,新埔段,335,120.3506553430,22.9760508344
173,D34,關廟區,7029,新埔段,344,120.3507095562,22.9758399008
174,D34,關廟區,7029,新埔段,396-10,120.3464524133,22.9759144966
175,D34,關廟區,7029,新埔段,396-15,120.3459149664,22.9763801858
176,D34,關廟區,7029,新埔段,397-4,120.3439397299,22.9755332890
177,D34,關廟區,7029,新埔段,398-10,120.3459664115,22.9780591152
178,D34,關廟區,7029,新埔段,404,120.3462219537,22.9771113462
179,D34,關廟區,7029,新埔段,435-2,120.3462183655,22.9807952298
180,D34,關廟區,7029,新埔段,441-2,120.3483671881,22.9822210324
181,D34,關廟區,7029,新埔段,441-3,120.3485726974,22.9823624861
182,D34,關廟區,7029,新埔段,559,120.3539177755,22.9820155660
183,D34,關廟區,7029,新埔段,559-3,120.3541407023,22.9822112460
184,D34,關廟區,7029,新埔段,605,120.3598292189,22.9820819294
185,D34,關廟區,7029,新埔段,617,120.3549204224,22.9849776544
186,D34,關廟區,7029,新埔段,618-26,120.3550772335,22.9828300401
187,D34,關廟區,7029,新埔段,618-32,120.3495499276,22.9819915044
188,D34,關廟區,7029,新埔段,618-40,120.3562231424,22.9887046281
189,D34,關廟區,7029,新埔段,618-43,120.3556675369,22.9880875087
190,D34,關廟區,7029,新埔段,618-89,120.3533712188,22.9811903052
191,D34,關廟區,7029,新埔段,638,120.3529050359,22.9886483134
192,D34,關廟區,7029,新埔段,639,120.3517233051,22.9889529675
193,D34,關廟區,7029,新埔段,647-3,120.3556749193,22.9904905941
194,D34,關廟區,7029,新埔段,647-9,120.3533528737,22.9890709114
195,D34,關廟區,7029,新埔段,647-14,120.3526314789,22.9885986246
196,D34,關廟區,7029,新埔段,649,120.3530267743,22.9952804999
197,D34,關廟區,7029,新埔段,684,120.3501684176,22.9888064928
198,D34,關廟區,7029,新埔段,685,120.3498102271,22.9883145098
199,D34,關廟區,7029,新埔段,688-3,120.3472089307,22.9887404395
200,D34,關廟區,7029,新埔段,722,120.3467309373,22.9825983315
201,D34,關廟區,7029,新埔段,723-2,120.3462432289,22.9818585136
202,D34,關廟區,7029,新埔段,723-6,120.3462097270,22.9826501254
203,D34,關廟區,7029,新埔段,723-7,120.3464865451,22.9821676910
204,D34,關廟區,7029,新埔段,724-2,120.3466729028,22.9831496035
205,D34,關廟區,7029,新埔段,737,120.3462982812,22.9848601771
206,D34,關廟區,7029,新埔段,865-9,120.3370766901,22.9788704485
207,D34,關廟區,7029,新埔段,868-3,120.3371663448,22.9807086034
208,D34,關廟區,7029,新埔段,888,120.3382090843,22.9823130756
209,D34,關廟區,7029,新埔段,900-16,120.3380161544,22.9851713798
210,D34,關廟區,7029,新埔段,900-23,120.3374297699,22.9830222579
211,D34,關廟區,7029,新埔段,900-31,120.3373128600,22.9814251226
212,D34,關廟區,7029,新埔段,900-42,120.3372937380,22.9856193410
213,D34,關廟區,7029,新埔段,900-43,120.3333437930,22.9821989292
214,D34,關廟區,7029,新埔段,916-1,120.3371712528,22.9873546477
215,D34,關廟區,7029,新埔段,929-4,120.3328136879,22.9884744268
216,D34,關廟區,7029,新埔段,930,120.3330303644,22.9888356955
217,D34,關廟區,7029,新埔段,957,120.3286077638,22.9842509137
218,D34,關廟區,7029,新埔段,961,120.3283491001,22.9827473297
219,D34,關廟區,7029,新埔段,984-1,120.3304356580,22.9819368635
220,D34,關廟區,7029,新埔段,1006,120.3284750517,22.9799706522
221,D34,關廟區,7029,新埔段,1013,120.3283856601,22.9790468390
222,D34,關廟區,7029,新埔段,1095,120.3361739976,22.9760202818
223,D34,關廟區,7029,新埔段,1130-2,120.3372559064,22.9752981001
224,D34,關廟區,7029,新埔段,1138,120.3389772816,22.9759810229
225,D34,關廟區,7029,新埔段,1215,120.3415992646,22.9754003767
226,D34,關廟區,7029,新埔段,1383-1,120.3420000285,22.9689405708
