Seq,區碼,區名,地段碼,地段名,地號,經度,緯度
1,D35,龍崎區,7036,番社段,1,120.4285664827,22.9427455842
2,D35,龍崎區,7036,番社段,1-2,120.4285647421,22.9429184169
3,D35,龍崎區,7036,番社段,3,120.4280962430,22.9430217303
4,D35,龍崎區,7036,番社段,3-1,120.4271376343,22.9430503989
5,D35,龍崎區,7036,番社段,4-1,120.4277936320,22.9425264937
6,D35,龍崎區,7036,番社段,6-1,120.4245151572,22.9432518746
7,D35,龍崎區,7036,番社段,6-4,120.4255934841,22.9426425524
8,D35,龍崎區,7036,番社段,6-13,120.4228739593,22.9427514364
9,D35,龍崎區,7036,番社段,6-14,120.4230949149,22.9430470362
10,D35,龍崎區,7036,番社��,6-15,120.4231548082,22.9431862084
11,D35,龍崎區,7036,番社段,6-20,120.4236801154,22.9428175890
12,D35,龍崎區,7036,番社段,6-30,120.4237009732,22.9430471280
13,D35,龍崎區,7036,番社段,6-35,120.4237287391,22.9428903325
14,D35,龍崎區,7036,番社段,6-42,120.4237843528,22.9433045687
15,D35,龍崎區,7036,番社段,7-5,120.4223426076,22.9433279304
16,D35,龍崎區,7036,番社段,7-13,120.4235207188,22.9429291815
17,D35,龍崎區,7036,番社段,7-14,120.4233417290,22.9432951523
18,D35,龍崎區,7036,番社段,9-2,120.4221660578,22.9424270199
19,D35,龍崎區,7036,番社段,9-8,120.4250711580,22.9405877740
20,D35,龍崎區,7036,番社段,9-10,120.4249195747,22.9401175433
21,D35,龍崎區,7036,番社段,9-26,120.4261627728,22.9393959226
22,D35,龍崎區,7036,番社段,10-2,120.4261150422,22.9409396735
23,D35,龍崎區,7036,番社段,12-2,120.4272170672,22.9402657903
24,D35,龍崎區,7036,番社段,13-3,120.4267511247,22.9415276864
25,D35,龍崎區,7036,番社段,15-2,120.4260307432,22.9391511295
26,D35,龍崎區,7036,番社段,15-3,120.4261449220,22.9392937323
27,D35,龍崎區,7036,番社段,19-3,120.4257550580,22.9362945972
28,D35,龍崎區,7036,番社段,19-4,120.4255957311,22.9368357960
29,D35,龍崎區,7036,番社段,19-6,120.4255340111,22.9363641715
30,D35,龍崎區,7036,番社段,19-7,120.4255608316,22.9360431353
31,D35,龍崎區,7036,番社段,20-3,120.4244015752,22.9364347718
