district,brand_name,branch_name,addr_raw,address_norm,source_id,center_source,match_level,lon,lat
七股區,統一超商股份有限公司,台南市第二十分公司,臺南市七股區大埕村272號1樓,台南市七股區大埕村272號,27257432,map.com.tw-js:2,PAGE_FALLBACK,120.139439,23.140692
七股區,統一超商股份有限公司,台南縣第七十四分公司,臺南市七股區七股村14鄰154之1號1樓,台南市七股區七股村14鄰154之1號,80353589,map.com.tw-js:2,PAGE_FALLBACK,120.139439,23.140692
七股區,萊爾富國際股份有限公司,第三五六一分公司,臺南市七股區大潭村台潭25號1樓,台南市七股區大潭村台潭25號,28439328,map.com.tw-js:2,PAGE_FALLBACK,120.132744,23.187547
七股區,萊爾富國際股份有限公司,第五0三七分公司,臺南市七股區三股里三股29之5號,台南市七股區三股里三股29之5號,90107741,map.com.tw-js:2,PAGE_FALLBACK,120.117559,23.098700
七股區,萊爾富國際股份有限公司,第五一五Ｏ分公司,臺南市七股區樹林38號1樓,台南市七股區樹林38號,97502583,map.com.tw-js:2,PAGE_FALLBACK,120.160847,23.114637
七股區,萊爾富國際股份有限公司,第五五四〇分公司,臺南市七股區竹橋43之1號1樓,台南市七股區竹橋43之1號,60475666,map.com.tw-js:2,PAGE_FALLBACK,120.162218,23.102299
下營區,統一超商股份有限公司,台南縣第六十分公司,臺南市下營區中營村十五鄰一二八六號一樓,台南市下營區中營村十五鄰一二八六號,27235682,map.com.tw-js:2,PAGE_FALLBACK,120.264414,23.235445
中西區,全家便利商店股份有限公司,台南市第二三八分公司,臺南市中西區大涼里府前路二段277號,台南市中西區大涼里府前路2段277號,51874717,map.com.tw-js:2,PAGE_FALLBACK,120.189753,22.991998
中西區,統一超商股份有限公司,台南巿第１０３分公司,臺南市中西區大涼里中華西路二段三十六號１樓,台南市中西區大涼里中華西路2段三十六號,16091717,map.com.tw-js:2,PAGE_FALLBACK,120.187143,22.992820
中西區,統一超商股份有限公司,台南巿第８１分公司,臺南市中西區民生里永華路１８４、１８４–１號１樓,台南市中西區民生里永華路184、184–1號,96973311,map.com.tw-js:2,PAGE_FALLBACK,120.191922,22.988295
中西區,統一超商股份有限公司,台南巿第８８分公司,臺南市中西區西門路二段３８４號,台南市中西區西門路2段384號,97176172,map.com.tw-js:2,PAGE_FALLBACK,120.200787,22.998539
中西區,統一超商股份有限公司,台南市第８７分公司,臺南市中西區西和路1、3號1樓,台南市中西區西和路1、3號,97173652,map.com.tw-js:2,PAGE_FALLBACK,120.186948,22.999060
中西區,統一超商股份有限公司,台南市第一五四分公司,臺南市中西區永福里忠義路二段一０九號一樓,台南市中西區永福里忠義路2段一0九號,27238180,map.com.tw-js:2,PAGE_FALLBACK,120.203156,22.993988
仁德區,全家便利商店股份有限公司,仁德德洋分公司,臺南市仁德區後壁村德洋路248之1號1樓,台南市仁德區後壁村德洋路248之1號,27931610,map.com.tw-js:2,PAGE_FALLBACK,120.245575,22.956953
仁德區,全家便利商店股份有限公司,仁德鼎安分公司,臺南市仁德區後壁村德安路1之1號1樓,台南市仁德區後壁村德安路1之1號,27238581,map.com.tw-js:2,PAGE_FALLBACK,120.252872,22.952726
仁德區,全家便利商店股份有限公司,台南市第二0六分公司,臺南市仁德區德南路22巷1、3號、24、26號1樓,台南市仁德區德南路22巷1、3號,54379487,map.com.tw-js:2,PAGE_FALLBACK,120.252117,22.948482
仁德區,統一超商股份有限公司,台南縣第６１分公司,臺南市仁德區中正路二段１０５２號,台南市仁德區中正路2段1052號,16434919,map.com.tw-js:2,PAGE_FALLBACK,120.252860,22.967915
