品牌,加油站名稱,行政區,地址,緯度,經度,座標來源,查詢狀態,備註
台灣中油,七股站加油站,七股區,臺南市七股區玉成里玉成18-2號,23.136820,120.134831,map.com.tw-js:2,成功,
台灣中油,台糖三股加油站,七股區,臺南市七股區永吉里永吉1-25號,23.102879,120.131458,map.com.tw-js:2,成功,
台灣中油,台糖國聖加油站,七股區,臺南市七股區義合108號,23.102165,120.131959,map.com.tw-js:2,成功,
台灣中油,國賓七股加油站,七股區,臺南市七股區七股里七股3-28號,23.130688,120.132813,map.com.tw-js:2,成功,
台灣中油,篤加加油站,七股區,臺南市七股區篤加里篤加1-33號,23.155972,120.134429,map.com.tw-js:2,成功,
台灣中油,府前路站加油站,中西區,臺南市中西區府前路二段256號,22.991920,120.191444,map.com.tw-js:2,成功,
台灣中油,仁德服務區北上站加油站,仁德區,臺南市仁德區中洲路1巷210號,22.906477,120.266422,map.com.tw-js:2,成功,
台灣中油,仁德服務區南下站加油站,仁德區,臺南市仁德區中洲路1巷230號,22.906064,120.264804,map.com.tw-js:2,成功,
台灣中油,大德加油站,仁德區,臺南市仁德區三甲里三甲子57-10號,22.927804,120.243326,map.com.tw-js:2,成功,
台塑石化,久井佳里加油站,佳里區,臺南市佳里區民安里同安寮76-5號,23.166341,120.194677,map.com.tw-js:2,成功,
台灣中油,佳興加油站,佳里區,臺南市佳里區興化里佳里興570-50號,23.185168,120.185471,map.com.tw-js:2,成功,
台灣中油,國賓加油站,佳里區,臺南市佳里區民安里同安寮1-9號,23.165485,120.188708,map.com.tw-js:2,成功,
台塑石化,福懋佳里,佳里區,臺南市佳里區安西里71-21號,23.174042,120.174233,map.com.tw-js:2,成功,
台塑石化,統一佳里本站,佳里區,臺南市佳里區鎮山94-78號,23.151965,120.184690,map.com.tw-js:2,成功,
台塑石化,嘉南加油站,六甲區,臺南市六甲區龜港里龜子港248號,23.256914,120.312681,map.com.tw-js:2,成功,
台塑石化,山隆六甲加油站,六甲區,臺南市六甲區龜港里龜子港21號,23.246340,120.314103,map.com.tw-js:2,成功,
台灣中油,北門站加油站,北門區,臺南市北門區仁里里二重港108號,23.267663,120.125510,map.com.tw-js:2,成功,
台塑石化,久井南橫起點加油站,南化區,臺南市南化區北寮里北寮58-5號,23.079723,120.488763,map.com.tw-js:2,成功,
台灣中油,再傳加油站,南化區,臺南市南化區玉山里55-3號,23.043054,120.477814,map.com.tw-js:2,成功,
台灣中油,南化站加油站,南化區,臺南市南化區南化里217號,23.043054,120.477814,map.com.tw-js:2,成功,
台灣中油,北基善化加油站,善化區,臺南市善化區嘉北里茄拔1號-13,23.142403,120.327241,map.com.tw-js:2,成功,
台灣中油,台糖曾文加油站,善化區,臺南市善化區六分里溪底寮67號,23.157975,120.294846,map.com.tw-js:2,成功,
台灣中油,山隆善化加油站,善化區,臺南市善化區小新里 小新營361號,23.116457,120.318885,map.com.tw-js:2,成功,
台灣中油,茄拔站加油站,善化區,臺南市善化區嘉北里茄拔2-30號,23.144364,120.327908,map.com.tw-js:2,成功,
台灣中油,大內站加油站,大內區,臺南市大內區石城里石子瀨122-12號,23.121135,120.354685,map.com.tw-js:2,成功,
