鄉鎮市區,建案名稱,坐落街道,起造人,層棟戶數,使用分區,主要用途,主要建材,申報備查日期,銷售期間,代銷期間,地號,建造執照,,,
TOWN,BUILDCASE,LOCATION,BUILDER,HOUSEHOLD,USEZONING,MAINUSE,MAINMATERIAL,DECLAREDATE,SELLINGPERIOD,BUILDINGLANDS,address_raw,BUILDINGPERMITNO,,,
安平區,大隆風範10,永華十一街,寶隆建設股份有限公司,8,住宅區,住家用、停車空間,鋼筋混凝土造,,自售:1100710~自完售止,無銷售期限，直到售完。,金城段48-2地號,(110)南工造字第02162號,,,
安南區,春福年年,富東路,春上建設有限公司,253,低密度住宅區,店鋪(G-3).集合住宅(H-2),鋼筋混凝土構造,1100709,自售:無,代銷:1100701~1120630,溪東段1778地號,(110)南工造字第01522號),,,
新市區,真祥家7,大洲段275-2地號等1筆土地,銘嵩建設有限公司 代表人：陳建男,15,鄉村區乙種建築用地,供特定人長期住宿之場所,鋼筋混凝土,,自售:無,代銷:1100615~1101231,大洲段275-2地號,(110)南工造字第01030-01號,,,
東區,富貴龍門,崇德三十街8號旁,金振發建設股份有限公司,2,第五種住宅區,住宅、停車空間,鋼筋混凝土構造,1100715,自售:無,代銷:1100305~1111231,德高段1432地號,(109)南工造字第04304號,,,
官田區,力漢戀公園二期,鎮森路,力漢營造股份有限公司負責人:郭峻瑋,55,住宅區,店鋪(G3)、住宅(H2),鋼筋混凝土造,1100720,自售:無,代銷:1100709~1120708,鎮南段98-2地號,,,,
安南區,連建拾禹,永續路與永續十六街口,連建建設股份有限公司,8,住宅區,住家用、停車空間,鋼筋混凝土構造,1100720,自售:無,代銷:1100601~1130601,國安段1583-2地號,(110)南工造字第01268號,,,
麻豆區,樂沐MOM豆,朝天段170、171地號,金滿益建設有限公司,47,特定農業區甲種建築用地、鄉村乙種建築用地,停車空間H2集合住宅,鋼筋混凝土構造,1100721,自售:無,代銷:1100701~自完售止,朝天段170地號,(110)南工造字地01280號,,,
新化區,南霸天高科技智慧園區,中正路720號,A1怡華實業股份有限公司負責人:黃士豪,58,特定農業區丁種建築用地,廠房,鋼骨構造,1100726,自售:1100720~1110701,,新化段太子廟小段1938-28地號,(110)南工造字第02500~2556,,,
歸仁區,安建築3,大仁街,城富開發建設有限公司代表人:孫寬仁,33,住宅區,住家用,鋼筋混凝土造,1100727,自售:1090801~1120731,代銷:1100415~1110414,八甲東段574地號,(109)南工造字第02546號,,,
