鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
安南區,房地(土地+建物)+車位,臺南市安南區本原街三段134巷,36.27,住,,,1150201,土地1建物1車位1,四層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,125.92,3,2,2,有,無,10550000,87042,坡道平面,19.65,1300000,,RPPNMLMJKHLGFBD27CB,皆城.初森,A5-4F號,
安南區,房地(土地+建物)+車位,臺南市安南區安和路四段與州南路交叉口,22.08,住,,,1150203,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,132.74,3,2,2,有,無,11280000,95031,坡道平面,29.3,1450000,,RPPNMLOJKHLGFBD47CB,佳展安和,B1棟13號,
安南區,房地(土地+建物)+車位,臺南市安南區安和路四段與州南路交叉口,30.3,住,,,1150203,土地1建物1車位2,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,197.51,4,2,2,有,無,16500000,94993,坡道平面,57.5,3200000,,RPTNMLOJKHLGFBD87CB,佳展安和,C3棟5號,
仁德區,房地(土地+建物)+車位,臺南市仁德區仁義六街20巷,23.56,住,,,1150201,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,147.08,3,2,2,有,無,13160000,99432,坡道平面,30.92,1610000,,RPPNMLOJKHLGFID18CB,佳晟家仁,B5棟8F號,
善化區,房地(土地+建物)+車位,臺南市善化區六分寮260號旁,31.04,,鄉村區,乙種建築用地,1150202,土地1建物1車位1,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,114.24,3,2,2,有,無,7730000,64982,一樓平面,13.75,1200000,,RPQNMLPJKHLGFHD28CB,鄉景尚品,A棟2號,
下營區,房地(土地+建物),臺南市下營區中華街,98.32,住,,,1150202,土地3建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,,162.0,5,2,4,有,無,12880000,79506,,0.0,0,,RPPNMLQJKHLGFFD18DB,公園伯爵23,A棟8號,
安南區,房地(土地+建物)+車位,臺南市安南區九份子大道與樂活路口,7.94,住,,,1150201,土地1建物1車位1,十層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,90.71,2,2,1,有,無,9980000,103329,坡道機械,7.19,1350000,,RPRNMLRJKHLGFBD97CB,?讀耶魯,C棟02號,
仁德區,房地(土地+建物)+車位,臺南市仁德區正義路205巷,180.77,農,,,1150207,土地4建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,294.25,5,2,5,有,無,33680000,114460,一樓平面,13.75,0,交易總價包含非建物之坐落土地，台南市仁德區中清段377-6地號，價格120萬。,RPPNMLRJKHLGFID48CB,森樂章,B棟12號,
仁德區,房地(土地+建物)+車位,臺南市仁德區正義路205巷,116.23,農,,,1150201,土地4建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,288.57,5,2,5,有,無,32480000,112555,一樓平面,13.75,0,交易總價包含非建物之坐落土地，台南市仁德區中清段377-6地號，價格6萬。,RPQNMLRJKHLGFID58CB,森樂章,B棟11號,
東區,房地(土地+建物)+車位,臺南市東區後甲三街X平實二街,17.76,商,,,1150201,土地2建物1車位1,十四層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,158.74,3,2,2,有,無,25280000,174649,坡道平面,25.73,2050000,,RPQNMLSJKHLGFCD08CB,國城?實,H棟2號,
東區,房地(土地+建物)+車位,臺南市東區後甲三街X平實二街,17.9,商,,,1150201,土地2建物1車位1,二十層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,159.86,3,2,2,有,無,25470000,173861,坡道平面,25.73,2150000,,RPRNMLSJKHLGFCD18CB,國城?實,K棟1號,
永康區,房地(土地+建物)+車位,臺南市永康區大灣段0495地號,28.56,住,,,1150205,土地1建物1車位1,九層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,129.36,3,2,2,有,無,12860000,109465,坡道平面,28.78,1850000,,RPPNMLSJKHLGFKD78CB,連建安什,A棟5號,
歸仁區,房地(土地+建物)+車位,臺南市歸仁區七甲二街57巷,33.91,,鄉村區,乙種建築用地,1150205,土地3建物1車位1,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,97.09,2,2,2,有,無,7600000,77426,其他,9.91,850000,,RPPNMLTJKHLGFID68CB,夏川7期,A棟2號,
北區,房地(土地+建物)+車位,臺南市北區和緯路三段和文賢三街口,25.02,住,,,1150207,土地2建物1車位1,三層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,195.63,3,2,2,有,無,28230000,160285,坡道平面,31.36,1900000,,RPPNMLKKKHLGFAD07CB,國泰原美,A棟A3-03F號,
北區,房地(土地+建物)+車位,臺南市北區和緯路三段和文賢三街口,25.11,住,,,1150201,土地2建物1車位1,四層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,196.02,3,2,2,有,無,27860000,157658,坡道平面,31.36,1900000,,RPQNMLKKKHLGFAD17CB,國泰原美,A棟A3-04F號,
東區,房地(土地+建物)+車位,臺南市東區裕忠路與裕興街口,28.42,住,,,1150204,土地3建物1車位1,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,152.95,3,2,2,有,無,23720000,189154,坡道平面,39.18,2200000,,RPPNMLKKKHLGFCD27CB,宗大虎隱,A5棟9號,
